location,customer engagement,rating score,Actual review date,Review Month,Review Quarter,Review Year,review highlight,complete review notes,Ombudsman's response,ombudsman response date,ombudsman's respose notes,Response Duration (in days)
United Kingdom,10,5,06-Dec-21,12,4,2021,I had a dispute with Green Star energy…,I had a dispute with Green Star energy company over being incorrectly charged and unsatisfactory customer service. Ombudsman Services we’re fantastic and I obtained a quick and good resolution.Great to speak with case worker over the phone as well - extremely helpful.,Yes,07-Dec-21,"Hi Wendy! Thank you for leaving us your positive review, We are glad we were able to help you reach a quick and positive outcome! Thank you",1
United Kingdom,2,5,02-Dec-21,12,4,2021,British gas…,I was having a problem with British Gas I contacted energy ombudsman. They were absolutely brilliant they resolved my problem within weeks. An absolutely brilliant service can’t thank them enough,Yes,03-Dec-21,Thank you Patricia! We are pleased to hear that your dispute was resolved quickly and you were happy with the outcome!,1
United Kingdom,3,5,02-Dec-21,12,4,2021,Ombudsman fully resolved my issue…,Ombudsman fully resolved my issue quickly after many months of fighting a false bill from EON. Highly recommend for an issue like this.,Yes,03-Dec-21,"Thank you for the recommendation, Hibah! We are glad we were able to help you with your dispute!",1
United Kingdom,1,5,02-Dec-21,12,4,2021,Great service.,I found this service to be excellent. Did exactly what it's meant to do in my case. The case officer took the time to understand the issue and came up with what I felt was a very fair resolution. All it would have taken from Bulb is for someone to actually listen properly.,Yes,03-Dec-21,"Fantastic Neil, Thank you for your feedback! We are glad we were able to help you",1
United Kingdom,5,5,24-Nov-21,11,4,2021,Excellent service,Excellent service. You understood the problem immediately which was something I am sure British Gas never did. The final settlement exceeded what I had originally accepted.,Yes,25-Nov-21,"That's great to hear Michael, We are happy that we were able to help you! Thanks for leaving us your review!",1
United Kingdom,18,5,24-Nov-21,11,4,2021,Dont be bullied by BT!,"After many months of appalling service (or lack of it!) from BT Broadband I finally involved the Ombudsman Services. BT pushed me from pillar to post, gave vastly differing verdicts to my problems and basically told me things that were untrue. Once the OS became involved and all my evidence (a very important part of any complaint!) was given to them, the service resolved the matter within a few weeks.It’s unfortunate that it seems a vast majority of suppliers have lost the human touch and work from the point of view that the customer is wrong until proven right.I would urge anyone who has issues with suppliers who have been unable to find a resolution, to contact the OS. I’d also add that it is important to keep all records of communication with a rogue supplier as this greatly helps in mapping out the history of a complaint and is your only real tangible evidence.Well done Ombudsman Services! The real shame is that suppliers are allowed to offer such shoddy services in the first place.",Yes,25-Nov-21,"Hello, We are glad we were able to help you resolve your long standing complaint with BT. You are absolutely right, the more evidence that you are able to provide, the easier it is for us to understand the history of the complaint and issue a fair decision. Thank you for taking the time to leave us your review, we really appreciate it!",1
United Kingdom,7,5,21-Nov-21,11,4,2021,Highly recommend,"We had been fighting with and electric company for 18months In regards to our final bill on a property we moved out from. We provided all the evidence I.e council tax, final meter read, new property agreement etc but the company didn’t accept/listen that our final bill was wrong. After many threats from multiple debt collection agencies, constant chase to correcting this with the company and providing evidence, I finally went to the ombudsman. From the start I was finally listened to and understood and within 6weeks my case closed and finalised with very little stress! Highly recommend",Yes,22-Nov-21,"Hi, We are glad we were able to help you resolve your dispute with your electricity supplier! Thank you for taking the time to leave us your review, we really appreciate it!",1
United Kingdom,3,5,18-Nov-21,11,4,2021,Dispute with Three,"I was in dispute with three over a sim card that would not work in my I phone. three said that they did not have a 14 day cooling off period, Trading standards said that by law they did, the bill kept mounting up, Three involved a debt collector and things went from bad to worse. That's when I involved the Ombudsman. When they had all the information, they contacted Three and in a very short time, my account with Three was cancelled, I received a letter of apology and compensation, So yes as far as I am concerned the Ombudsman is top of the pops and I would recommend them. Get in touch as soon as you can. Thanks guys you were brilliant.",Yes,19-Nov-21,"Thanks Jim, We are glad we were able to get you a quick resolution for your complaint with Three! We are always here if you need us!",1
United Kingdom,14,5,18-Nov-21,11,4,2021,Ok you have reached the end of the road…,"Ok you have reached the end of the road with your supplier when you involve them. In my case the issue was simple just an undesputed refund they just failed to make. Using this service created more delay as it went through the process but did ensure the supplier paid attention and resolved the issue. The ombudsman process was simple to use, if needed I would recommend them.",Yes,19-Nov-21,"Thank you for your feedback. Our team do try to resolve complaints as quickly as possible but we have to ensure that we follow the correct processes, we really appreciate your patience during our investigation. We are glad your dispute has been resolved. Thank you",1
United Kingdom,11,5,16-Nov-21,11,4,2021,sorted my problem with sse in a few…,sorted my problem with sse in a few weeks after i had tried for about a year to no avail. cant thank them enough. John P,Yes,17-Nov-21,"Fantastic news, John! We are glad you had a speedy resolution!",1
United Kingdom,2,5,16-Nov-21,11,4,2021,Ombudsman very reliable,"They are the best  in what they do,I had issues with bulb energy,I tried to resolve it myself I couldn’t,when I called Ombudsman right away they handled my case and got me compensated,they are the best",Yes,17-Nov-21,Thank you so much! We are really pleased that you had a positive experience when using our service!,1
United Kingdom,4,5,10-Nov-21,11,4,2021,Thank you Ombudsman!,"I was referred to the ombudsman service after weeks of getting nowhere with my energy supplier over an inflated estimated reading following the fitting of a smart meter .The existing meter had stopped recording and had been reported some months previously.Within 48 hours I received an apology, the estimated bill was written off and I received compensation. I couldn't be happier with the result",Yes,11-Nov-21,"Hi John, We are glad we were able to get you a positive and quick resolution to your complaint. Thank you for taking the time to leave us your review!",1
United Kingdom,2,5,10-Nov-21,11,4,2021,Everyone we spoke to and dealt with at…,Everyone we spoke to and dealt with at the Ombudsman energy service was professional and efficient and listened to our dispute and acted promptly.,Yes,11-Nov-21,"Thank you for your review, We are happy we were able to help you with your complaint!",1
United Kingdom,3,5,10-Nov-21,11,4,2021,Excellent,"Excellent!  Took the pressure off me when I had reached the end of my tether with a certain large, well known communications company. I found the team very fair to both sides and really empathetic. Don’t expect them to get it right straight away mind I had to appeal their initial decision, but after a good honest conversation with the desk officer we worked it out in the end.",Yes,11-Nov-21,"Fantastic news, Thank you for your patience. We are glad we were able to help you with your complaint!",1
United Kingdom,6,5,10-Nov-21,11,4,2021,I had a issue with invoicing from a…,I had a issue with invoicing from a energy company. I had been in constant contact with the company for 6 months and was going round in circles. I was getting past around numerous different people at the company getting asked the same questions and to provide the same evidence. The sum of money they were saying was owed was huge and it began to give me anxiety and low moods. I felt helpless.The Ombudsman service took on my case and were very straightforward and professional. They looked at the evidence from both parties and came to a conclusion. It felt like for the first time the Energy company in question took my case seriously and dealt with the raised issue. I feel the Ombudsman Service is a very important invaluable service. It protects the general public against large businesses.,Yes,11-Nov-21,Hi Dep. We are sorry to hear about the situation that led to you raising your complaint with us. We are glad that we were able to help you reach a positive resolution and we hope we took a weight off your mind. Thank you for your review.,1
United Kingdom,7,5,10-Nov-21,11,4,2021,Sorted,"Thoroughly investigated. Very pleased with the outcome of a written apology and compensation from my energy supplier, I am still with them. I wasn't worried about the compensation it was the way they ignored my emails where I pointed out their errors.  In the end it all got sorted.",Yes,11-Nov-21,"Hi Michael, We can imagine that must have been very frustrating! We are glad we were able to help you and you had a positive resolution to your complaint. Thank you for your review.",1
United Kingdom,17,5,04-Nov-21,11,4,2021,Had an issue with E.ON which I tried to…,"Had an issue with E.ON which I tried to sort myself, but after a year of getting nowhere i contacted the Ombudsman service and I'm super happy i did. The web portal is great and easy to use, it's good to have all info in one place and it makes it easy to keep up with what's going on. My case worker was both knowledgeable, and very pleasant to deal with. Case resolved no and I'm both happy and relieved. All round great job. I cant rate highly enough. Thankyou",Yes,05-Nov-21,"Thank you for your lovely feedback, Rob. We are happy that you had a positive experience when using our services and that you were happy with the outcome. I will make sure your feedback reaches the team that handled your complaint. Thank you.",1
United Kingdom,4,5,04-Nov-21,11,4,2021,Honest and impartial service,"Honest and impartial service, their recommendations were fully accepted by my energy company",Yes,05-Nov-21,"Hi Dell, Thank you so much for your review, we are glad we were able to help you!",1
United Kingdom,11,5,28-Oct-21,10,4,2021,Yeah baby,Fantastic experience. They helped me take on one of the big boys and I won. Literally could not have done it without them. So glad a service like this exists.,Yes,29-Oct-21,"Hi Liam! That is great news, we are glad that we were able to help you out! Thank you",1
United Kingdom,3,5,28-Oct-21,10,4,2021,Problem solved swiftly,Been overcharged on an 'estimated' electricity bill. Received apologies and reimbursement after few days I did the claim.,Yes,29-Oct-21,"Hi Filomena, That's great news! We are glad you had a positive outcome to your complaint! Thank you",1
United Kingdom,10,5,21-Oct-21,10,4,2021,Very happy with the service,Very happy with the serviceI had been unable to get a satisfactory refund from Three Mobile after a very serious fraud issue on my account and very clear shortcomings from them. I went through the Ombudsman services and got all of my money refunded and £150 pounds extra as a formal apology.Process with the Ombudsman was easy and straightforward.,Yes,22-Oct-21,"That's great to hear, Amel. We are glad we were able to help you get a positive resolution. Thank you for your review.",1
United Kingdom,62,5,21-Oct-21,10,4,2021,Brilliant service,Brilliant service. I was getting nowhere with my particular complaint with the company in question. Contacted the ombudsman and was corrected straight away. Highly recommend,Yes,22-Oct-21,Thank you for your review! We are glad to hear that you got a quick resolution to your complaint!,1
United Kingdom,48,5,11-Oct-21,10,4,2021,My complaint was about a non payment of…,My complaint was about a non payment of Feed in tariff money due from a Gas supplier. Their complaints system was shambolic and I ended up going round in circles. I contacted the Ombudsman who quickly reviewed all the evidence and sought a resolution from the supplier. The money was soon in my bank account and the whole process was complete within 3 weeks. Couldn't fault the system at all.,Yes,12-Oct-21,Fantastic news! We know dealing with complaints can be frustrating so we are glad we were able to help you out and get you a positive resolution. Thank you,1
United Kingdom,12,5,07-Oct-21,10,4,2021,Supplier issues and confused billing/overcharges,"I had an issue with one of the electric suppliers Symbio with poor service, confusing billing procedure, overcharging etc.... Thankfully I got in touch with the Ombudsman and a fantastic chap guided me through the mayhem to eventually come out victorious. I can not recommend this organisation enough to sort out issues over the years.",Yes,08-Oct-21,"Hi Ash, we totally understand how confusing some of the complaints can be! We are glad we were able to help you through it and reach a resolution that you were happy with! Thank you",1
United Kingdom,7,5,07-Oct-21,10,4,2021,Went to the ombudsman with an issue…,Went to the ombudsman with an issue with together energy. The issue was resolved fast and efficiently. I would recommend using this service to anyone who comes into difficulties with their energy supplier. 10/10,Yes,08-Oct-21,"Its great to hear that your issue with Together Energy has been resolved! Thank you for your recommendation and review, we really appreciate it!",1
United Kingdom,12,5,07-Oct-21,10,4,2021,My complaint was handled perfectly,"My complaint was handled perfectly, the case worker read, understood, and sympathised with my problem. My issue was resolved in a timely manner. I would recommend this service to anyone, who can't get their issue resolved directly. Just make sure you attach all proof to support your case, and it definitely helps them if you wrote down everything in chronological order to help them understand everything and deal with your issue well.",Yes,08-Oct-21,"We really appreciate the time you have taken to leave us your feedback. You're absolutely right, the more facts and evidence you can provide in relation to the case the easier it is for our team to get a clear understanding of the situation which helps form their decision. We are glad that we were able to help you!",1
United Kingdom,2,5,07-Oct-21,10,4,2021,very easy process and easy to…,very easy process and easy to understand what was happening very efficient to.,Yes,08-Oct-21,"Hi Peter, Thank you for your review! We are glad that we were able to help you!",1
United Kingdom,9,5,05-Oct-21,10,4,2021,After a frustrating few months of…,"After a frustrating few months of trying to deal with eon, the ombudsman's involvement finally resulted in the matter being resolved. When you have great difficulty in contacting a company such as eon, when you have to jump through hoops to speak to an agent, when they just ignore any information you have given them and continue to issue bills incorrectly, when they are rude to you, disrespectful and impossible to deal with, get in touch with the Ombudsman!",Yes,06-Oct-21,"Hi Mrs Askey! We are glad we were able to take the frustration away for you and reach a resolution to your complaint with E.ON. We are always here if you need us, thank you for your review!",1
United Kingdom,119,5,23-Sep-21,9,3,2021,I am so impressed with this Ombudsman service,I am so impressed with this Ombudsman service. My call was answered at once and action taken straight away to help me. I felt valued and listened to and with their help achieved a fair settlement with British Gas. Before involving the Ombudsman they would not listen to me. It was David & Goliath.,Yes,24-Sep-21,"That is great to hear, Angela! We are really glad to hear that our team provided the support you needed and you achieved a positive outcome! Thank you for taking the time to leave us your review!",1
United Kingdom,103,5,15-Sep-21,9,3,2021,"Really easy to use website, quick resolution to issue","Really easy to use website, regular updates and a prompt resolution to my complaint when I was getting nowhere trying to deal with peoples energy directly.  Within 24 hours of the case being raised, peoples energy responded to the ombudsman and within a couple of weeks everything got resolved. i had been trying to resolve myself for nearly 6 months.  Very good service",Yes,16-Sep-21,"Fantastic news, JC. We know it can be frustrating when complaints drag on for a long time so we are pleased you got a speedy, positive resolution. Thank you",1
United Kingdom,89,5,13-Sep-21,9,3,2021,Well balanced investigation.,"I had a dispute with Avro Energy. Luckily I had saved all my emails to them and replies back if I got them. The Energy Ombudsman was then able to do a thorough investigation of this company. While they found in favour of the company on most aspects of my case to my disappointment, they did find in my favour on one, and awarded me compensation and a letter of apology from Avro. It is quite rightly no use complaining about a situation if full facts are not submitted for review as they need to take a balanced approach.",Yes,14-Sep-21,"Hi David, We are sorry that we weren't able to fully achieve the outcome you were hoping for but we are glad to hear we achieved a partial resolution with an apology from your provider. Thank you for taking the time to leave us your feedback, we really appreciate it.",1
United Kingdom,1,5,09-Sep-21,9,3,2021,"Straightforward, efficient and easy to understand","Found the online complaints process straightforward and the time it took to achieve a resolution surprisingly short. Was also impressed by the detailed explanation of the Ombudsman Service's decision (and additional useful advice) I received via a phone call by an Ombudsman member of staff. Another positive was the language used both during the phone call and online: very straightforward and understandable, without unnecessary technicisms. Have been recommending the Ombudsman ever since!",Yes,10-Sep-21,"Hi Anneliese, That is great feedback, thank you! We are glad we were able to help you with your complaint. Thank you for your recommendation.",1
United Kingdom,6,5,08-Sep-21,9,3,2021,Brilliant,Brilliant - they sorted everything out and kept you up to date all the way through - definitely use them again.Thank You Again,Yes,09-Sep-21,"Great news, Debbie! We are glad to hear it. We hope you got a satisfactory resolution! Thank you for taking the time to leave us your feedback!",1
United Kingdom,5,5,08-Sep-21,9,3,2021,The service takes the stress out of…,The service takes the stress out of dealing with a supplier who doesn't listen and gives a fair perspective.,Yes,09-Sep-21,Hi Eileen! We are glad we were able to take the stress away for you! Thank you for taking the time to leave us your review!,1
United Kingdom,2,5,01-Sep-21,9,3,2021,Excellent service,"I was having terrible trouble with a large energy company and had to turn to the Ombudsman for help to get it sorted. I found the whole experience from beginning to end to be very simple. I was kept informed all along the way, and the decision of the Ombudsman was very fair. You get assigned an advisor and you can ring them and explain things to them personally, which is much easier than having to write everything down through the stages. I would definitely recommend anyone having trouble (especially with the larger companies) to contact the Ombudsman. Excellent service.  Thank you.",Yes,02-Sep-21,Hello! Thank you for your wonderful review of our services. We are really happy we were able to help you reach a resolution with your provider and we really appreciate you taking the time to leave us your feedback. Thank you,1
United Kingdom,1,5,01-Sep-21,9,3,2021,This service was extremely helpful…,This service was extremely helpful after a seven month battle with a utility company that did not resolve the problem and we just went around in circles. The professional understanding of my advisor and her careful analysis of the case brought about a resolution that I am very happy with. Thank you ombudsman service.,Yes,02-Sep-21,"Hi Vickie,  it sounds like you have had a nightmare dealing with your complaint. We are glad that we were able to support you. I will ensure that your feedback reaches the team who handled your case. Thank you for your review.",1
United Kingdom,15,5,01-Sep-21,9,3,2021,I can only go on my experience,"I can only go on my experience, And I gave 5 stars for a 5 star resolution ..... Its so hard to get a positive resolution if the company your up against just try and fob you off....This is where the Ombudsman steps in and reviews the case, and in my case were GREAT. A great service AND ITS FREE TO USE...BRILLIANT... ??",Yes,02-Sep-21,Hi Zimmi! Fantastic news! We are so glad that we were able to help you reach a resolution with your provider. Thank you for your review!,1
United Kingdom,2,5,30-Aug-21,8,3,2021,Excellent service,"excellent serviceA phone company had been charging me for a sim card for over a year that I didn't have & hadn't used. when I asked for a full refund they offered me £50 instead of the £800 owed. I contacted the Ombudsman who explained the process clearly and took all my evidence over the phone, they told me to be patient and I would get a call back in a few weeks.Sure enough I got a reply and a full refund. It was a very easy process thanks to giving the evidence verbally on the first phone call to a very helpful and pleasant person.",Yes,31-Aug-21,"Hi Nick, we're glad you're happy with the service received from our colleagues, we'll be sure to pass on your feedback to them! Thank you for taking the time to share your experience with us and other customers.",1
United Kingdom,2,5,26-Aug-21,8,3,2021,Over-reading electricity meter,The website is excellent and very easy to use.  My case officer investigated my issue fully and communicated well at all stages.  I would not hesitate to use this excellent (and free!!) service at anytime in the future.,Yes,27-Aug-21,"Hi Graeme, thanks for leaving such a great review! We're happy our case officer was able to help you and we look forward to being here again for you in the future, if you need us!",1
United Kingdom,1,5,25-Aug-21,8,3,2021,Problems solved,The ombudsman finally got Symbio to respond to my billing problems within weeks after months of frustration.I would have no hesitation in contacting them again in the future if required.,Yes,26-Aug-21,"Hi Terry! Great news! We are glad we were able to help you. Whilst we hope you don't find yourself in a situation where you need to use our services again, we are always here for you if you do! Thank you",1
United Kingdom,8,5,25-Aug-21,8,3,2021,my own experience was excellent,my own experience was excellent . I had been banging my head against the wall for three years over meter readings and ridiculous amounts I was being told I'd used .  the moment the ombudsman became involved this particular power [N] company backed off and cleared the so called debt .,Yes,26-Aug-21,"Hi Mal, It sounds like a very stressful situation! We are so glad we were able to help you and get a resolution to your dispute! Thank you so much for your review, we really appreciate it!",1
United Kingdom,7,5,24-Aug-21,8,3,2021,I had a problem with one of the big…,"I had a problem with one of the big energy companies. When I tried to querie this I felt ignored and dismissed and the problem was not resolved.I contacted the ombudsman for help. I spoke to someone on the phone to initially explain the problem. The lady I spoke to was brilliant, she logged the problem and explained how to access the case online. The website is easy to navigate, even for a technophobe like myself. From then on the communication was prompt and the ombudsman gave me deadline dates for things that would be happening, I was kept informed every step of the way. The outcome… I got a letter of apology and a monetary gesture of goodwill from the energy company. It’s intimidating taking on a large company but with the impartial opinion of the ombudsman, they listened and resolved the problem.",Yes,25-Aug-21,"Hi Julie, We are so glad to hear that you had a positive resolution to your complaint, we are glad we were able to help you. Thank you for your lovely feedback, I will make sure this reaches the team that dealt with your case! Thank you",1
United Kingdom,9,5,24-Aug-21,8,3,2021,The Ombudsman service superb,The Ombudsman service was excellent from beginning to endHelp was impeccable and successful outcome would have been impossible without expensive legal help,Yes,25-Aug-21,Hi David. Thank you so much. We are glad we were able to get you a successful outcome without the fees! Thank you for leaving us your review!,1
United Kingdom,8,5,22-Aug-21,8,3,2021,Case resolved to my satisfaction,"Really surprised to see negative reviews here. I had a great experience with the Ombudsman. In my case, it was very clear that the Plusnet was completely at fault and the service (or lack of) had been absolutely terrible, so maybe it's easier in such a clear cut case. They had already promised me £150 to reimburse incorrect payments taken without consent and as compensation. They never actually sent me this though, and so the Ombudsman ruled they were due me that plus an additional £50.I did find the website a little counter intuitive, and when you have a lot of emails/evidence it's a bit of a faff adding it. Timescales felt a bit like I didn't have much time, and overall it seemed to drag. BUT I've got thoroughly sick of Plusnet I felt that sense of doom and wanted to ignore emails coming through about it, so I could well have put things off, and it had been fighting with Plusnet for 7 months before going to the ombudsman so an additional 2 months to get it sorted probably isn't that bad and just felt long on top of the previous 7 months",Yes,23-Aug-21,"Hi Susie! Its great that you got a positive outcome to your complaint! We understand that it can feel like a long process, but we appreciate your patience whilst we have completed your investigation. Thank you for your feedback regarding our website, we are always looking to improve our services so I will pass this over to the relevant team. Thank you",1
United Kingdom,69,5,18-Aug-21,8,3,2021,A fantastic invaluable service,An invaluable service that helped me recoup approx £100 overbilling from my new supplier using incorrect opening figures.  Turned around a very long & stressful situation where I was getting nowhere with the supplier.  Successfully sorted within no time at all.  Thank you.,Yes,19-Aug-21,Fantastic news! Thank you for your lovely feedback. We are glad we were able to take away some of the stress for you. Thank you,1
United Kingdom,10,5,12-Aug-21,8,3,2021,Energy company issue resolved,"I had a long-standing issue with customer service with Symbio energy, which the Ombudsman sorted out. We even got a goodwill refund. So we are pleased with the service, and the clout the Ombudsman has to get companies to respond.",Yes,13-Aug-21,"Great to hear, Sue! We are happy that we were able to help you!",1
United Kingdom,6,5,12-Aug-21,8,3,2021,Would certainly recommend to anyone who has been affected by the Origin experience with poor internet service and provider. Get in touch with these guys and let them help you as with my problem as I,I had been with the Origin broadband provider but from the first day I had problems and it just got worse. So I contacted the ombudsman and they were great in getting my problem resolved.,Yes,13-Aug-21,"Hi John, We are glad we were able to help you resolve the issues that you were having with Origin broadband! Thank you for your recommendation, we really appreciate your review!",1
United Kingdom,2,5,10-Aug-21,8,3,2021,Excellent help when I needed it!,"I truly believe that without the help of the Ombudsman Services I would never have seen a refund from my previous electricity provider, Together Energy.",Yes,11-Aug-21,"Hi Clive, We are happy that we were able to assist you and we are glad to hear that you got a positive outcome. Thank you for your feedback",1
United Kingdom,6,5,10-Aug-21,8,3,2021,Complaints falling on deaf ears,The company just ignored me and never carried out the repairs until the ombudsman got involved,Yes,11-Aug-21,"Hello, That sounds like a very frustrating situation, we are always on standby to support in these instances. Thank you for leaving us your review.",1
United Kingdom,3,5,08-Aug-21,8,3,2021,I had a fantastic result by using…,I had a fantastic result by using ombudsman services I had been fighting energy company since 2014 then during lockdown I had had enough and involved them after a few weeks my problem I had been trying to sort for years was finally resolved and believe me it was no easy case.,Yes,09-Aug-21,"Hi Ann, It sounds like your complaint had been causing you some trouble for quite some time, so we are glad we were able to get you a quick and positive resolution. Thank you for leaving us your review!",1
United Kingdom,3,5,04-Aug-21,8,3,2021,Switch from one energy supplier to another,"This company helped me a lot! I had a problem with my previous energy supplier. I've changed to a new one but money was still taken from an old one and in this case, I was in debt with my new energy supplier for more than a 500 quid. So I've asked for help from this company because for 4-5 months I have tried to contact my old energy supplier to figure out everything but they just said: ""please wait, mam"". It was enough for me and I've asked for a help from this company and in about a week I've received a refund and after a few more weeks compensation. Best recommendations. Without them, I think till now I wouldn't receive any money... Especially thanks for Charlotte Mazers.",Yes,05-Aug-21,"Great news Laurita, we know it can be frustrating when you are trying to reach a resolution but not getting anywhere, so we are glad we were able to help. I will make sure Charlotte sees your review! Thank you",1
United Kingdom,3,5,04-Aug-21,8,3,2021,In a nutshell,"In a nutshell, when I switched energy providers there was discrepancys with meter readings and they lacked communication between each other. It seemed that I had to do all the work, I provided picture evidence of meter readings and got nowhere. This carried on far too long... nearly a year until I came across this service, my case was resolved within weeks in my favour. Extremely grateful for this service,  just wish I'd found them sooner.",Yes,05-Aug-21,"Hi Kirsty, It sounds like you had a bit of a nightmare with your switch! We are glad we were able to help you get your complaint resolved! We are always here if you need us! Thank you",1
United Kingdom,9,5,04-Aug-21,8,3,2021,Timelines Kept To,Timelines Kept To. Explanations clear. Resolution satisfactory. I think some people rate Ombudsman Services on whether their claim has been successful or not.,Yes,05-Aug-21,Thank you for your review! We are happy to hear you had a positive experience!,1
United Kingdom,23,5,27-Jul-21,7,3,2021,Brilliant,Helped me get my credit balance owed from Scottish Power when they took over from Yorkshire Energy.Not only that but a letter of apology for shoddy service and a cheque to compensate for the stress they caused. As I am a pensioner I am over the moon because I did expect anything back......Thanks for being on my side,Yes,28-Jul-21,"That's great news, Graham! We are so glad that we were able to help you get a resolution that you were happy with and we really appreciate you taking the time to leave us your feedback - Thank you",1
United Kingdom,2,5,27-Jul-21,7,3,2021,Excellent service,I couldn't have asked for better service from the Ombudsman Services.Reporting my problem was easy and I was kept well informed of progress every step of the way.I used the service only as a last resort after I tried to resolve my problem via the normal channels and I am very glad that they were there to help me.,Yes,28-Jul-21,"Hello Paul, We are really glad we were able to help you and we really appreciate your fantastic feedback, Thank you",1
