"typography_heading-xs__jSwUz","link_internal__7XN06 href","typography_heading-xxs__QKBS8","typography_body-m__xgxZ_","typography_body-m__xgxZ_ 2","star-rating_starRating__4rrcf src","typography_body-m__xgxZ_ 3","link_internal__7XN06 href 2","typography_heading-s__f7029","typography_body-l__KUYFJ","typography_body-m__xgxZ_ 4","typography_body-m__xgxZ_ 8","typography_body-m__xgxZ_ 9","typography_body-m__xgxZ_ 10"
"SA","https://uk.trustpilot.com/users/5268f95b000064000151ea9d","Sakthivel","12 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","16 Sept 2024","https://uk.trustpilot.com/reviews/66e803b4bba5c0eb688b3f17","This organization has no purpose for…","This organization has no purpose for consumers. They are there only to protect the energy companies. In my case they accepted a fabricated fradulant audio clip as my consent for a commercial contract. The company they claim who provided the clip doesn't even exist and they know it. what a joke. if this is public funded organisation it must be dissolved. Upto the top level has no clue of what they are trying to do.","10 September 2024","Reply from Energy Ombudsman","17 Sept 2024","Hi Sakthivel , we're sorry that you haven't had a positive experience when using our services. Our team should have provided you with a detailed explanation as to how the decision was reached but should you have any questions or concerns then please don't hesitate to contact us 0330 440 1624 and we will be happy to help. Thank you"
"BY","https://uk.trustpilot.com/users/567926c20000ff0001f5e1c9","byron","34 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","19 Sept 2024","https://uk.trustpilot.com/reviews/66ec0b541b9740f3d172f2c3","I found it really refreshing to talk to…","I found it really refreshing to talk to someone who deals with things in a common sense way. The service they provide is invaluable when you feel you are banging your head against a wall when dealing with energy companies who stick to a script and see nothing but Black or White.","19 September 2024","Reply from Energy Ombudsman","23 Sept 2024","Hi Byron , That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"ML","https://uk.trustpilot.com/users/54217efd00006400018c1e58","Mrs liz dore","12 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","18 Sept 2024","https://uk.trustpilot.com/reviews/66eae8c6698ecc389d392f18","A breath of fresh air on my complaint to EON.Next","The Energy Ombudsman was a breath of fresh air after EON.Next gave me the run-around with a long running and very poorly handled complaint. Marie Shaw was an excellent case handler who listened to my complaint, explained the process clearly and gave me regular updates. I was very happy and relieved when the Energy Ombudsman found in my favour.","22 August 2024","Reply from Energy Ombudsman","19 Sept 2024","Hi Liz , That's fantastic to hear, We're glad that you had such a positive experience when using our services and that Marie  supported you throughout your dispute with us. Thank you for your review."
"GM","https://uk.trustpilot.com/users/5f48ca35e2302e789d94a67d","Gemma Malone","6 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","20 Sept 2024","https://uk.trustpilot.com/reviews/66ed5124752ec029416ed898","Hugely overestimated bill…","I had been in dispute with my energy supplier over a massively overestimated bill, with them saying I owed around £576 for a weeks energy. I had tried and tried to resolve this myself with no joy and I’d had 2 different debt collection agencies also threatening action. At my wits end I contacted the energy ombudsman and it was the best thing I could have done. An amazing case handler called Paula has worked so hard to resolve this for me and kept me informed every step of the way. I’ve just been told the decision has been made and I couldn’t be happier with the outcome. I had tried for 8 months to fix this myself and it was causing me no end of stress. I wouldn’t hesitate to use the ombudsman again and would recommend them to anyone who needs help with a supplier acting unfairly.","20 September 2024","Reply from Energy Ombudsman","23 Sept 2024","Hi, That's great to hear, we're glad Paula supported you throughout your dispute with us. Thank you for taking the time to share your experience."
"AN","https://uk.trustpilot.com/users/5b8574224de5666d34f1a2db","Andrew","15 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","18 Sept 2024","https://uk.trustpilot.com/reviews/66eab73ea863cd08b5f8f854","43% 1-star reviews; I agree","43% 1-star reviews: makes sense. Upheld my complaint but said I should get nothing despite the runaround EDF gave me. Then lied in a phone call to me so want his manager to listen phone call from today; when asked why he didn’t listen to my phone calls with the supplier, he initially claimed that he can’t go through all the calls that I made and he would only access a call if I requested this and said when it was. I said there were 2 calls. I then read to him text from the complaint specifically asking him to listen to a call made at particular time and then he shifted his position, claiming I had to provide the call recordings and denied what he said earlier. He also said he didn’t need to see or request the activity logs of the supplier to confirm what actions happened when. Perhaps CEO should be emailed; his name is EDodman (followed by at energyombuds... address)","18 September 2024","Reply from Energy Ombudsman","18 Sept 2024","Hi Andrew , we're sorry that you haven't had a positive experience when using our services. Our team should have provided you with a detailed explanation as to how the decision was reached. We would advise contacting us directly on tel 0330 440 1624 or email us @ enquiry@energyombudsman.org   and a member of our teamwill be able to help you. Thank you"
"","https://uk.trustpilot.com/users/59f59dae0000ff000adb56fa","Su","39 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","18 Sept 2024","https://uk.trustpilot.com/reviews/66eab3808df700e52b1ae950","I was truly at my wits end with Ovo!","I was truly at my wits end with Ovo so passed my grievance to Energy Ombudsman. I cannot express how amazing their support was and the final outcome they achieved was perfect.  Thank you especially to the delightful and supportive lady who got results!","18 September 2024","Reply from Energy Ombudsman","18 Sept 2024","Hi, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"EL","https://uk.trustpilot.com/users/584ea7ad0000ff000a60beb8","Eric Lo","24 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","12 Sept 2024","https://uk.trustpilot.com/reviews/66e3449d201ff8689f5da05e","My case was  handled with care and thoroughness","I must be honest that I sought help from the Energy Ombudsman not holding out much hope as the facts are not straightforward. I was expecting some sort of computer saying narrrh... But to my great surprise the examiner studied my case with a lot of care and attention to every minute detail and she found in my favour and awarded me compensation against the dodgy energy broker. Their portal was easy to use to log in evidence. I will recommend them to all begrieved consumers","05 September 2024","Reply from Energy Ombudsman","13 Sept 2024","Hi Eric,Thanks for taking the time to leave a review.It's good to hear your experience was positive and your case was resolved.Kind regardsLisa"
"RE","https://uk.trustpilot.com/users/5cd0973527bc27ad6225eaa6","Red_Sqwiwul","32 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 Sept 2024","https://uk.trustpilot.com/reviews/66f2889439246ba6da307e49","Energy Ombudsman have little authority","I have finally left British Gas after 10 months of absolute madness.  I realise there is no support or will on behalf of British Gas to support the roll out of EV car charging infrastructure.The support from the energy ombudsman was poor.In 10 months I had only 1 month where I was billed correctly for charging my car overnight.  Issue - Smart meter did not communicate with British Gas to tell them when I was charging my car. Off peak overnight is around 70% cheaper than peak use. It has cost me £1000.During my time:- Billed for 9/10 months at peak rate despite charging my car over night- had 2 new smart meters installed-in the end, after I thought all was resolved, BG continued to take only 1 reading as peak from my meter despite it having dual ability.- energy ombudsman have little power - can only enforce BGs appalling policies and provide token gesture compensation. It seems to me that BG are using loop holes to get around having to charge low prices for nighttime EV car charging, knowing the Ombudsman can do nothing. If they don’t receive the meter readings, they don’t need to backdate your bills - and won’t. They know the Ombudsman can do nothing. Pod Point APP which shows my overnight charge history is not accepted as evidence by BG OR THE REGULATOR.I was left with £1000 debt which I cleared with a loan.  I have have left BG to go back to Octopus. Guess what - Octopus are receiving my peak and off peak meter readings with no problem after only 4 days. All automatic. Visible on my meter. BG are a disgrace. They deliberately sought only one reading rather than dual even when I had the correct system in place at my end.ombudsman have let me down badly.","01 September 2024","Reply from Energy Ombudsman","24 Sept 2024","Hello, we're sorry that you haven't had a positive experience when using our services. We appreciate that you may not have had the outcome that you were hoping for however, if you have any questions then please don't hesitate to contact us and we will be more than happy to help. Thank you"
"","https://uk.trustpilot.com/users/66e1a09020400d4aa8d70f5b","Chris Winters","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","11 Sept 2024","https://uk.trustpilot.com/reviews/66e1a099e64ffcf33950bb66","Overcharging by new suppliers …","Contacted the ombudsman after multiple complaints to a new energy provider appeared to fall on deaf ears. Once involved they issued clear guidance as to what was required from both parties and set deadlines. The information was looked at and the decision went In my favour, the reasons given a remedy proposed. It’s a shame a major energy provider had to be forced to put right their actions that were so blatantly wrong","01 August 2024","Reply from Energy Ombudsman","12 Sept 2024","Hi Chris,Thanks for leaving a review.  I'm glad we were able to help you get your issue resolved.Kind regardsLisa"
"ES","https://uk.trustpilot.com/users/55717ea00000ff0001c3e12d","E  Spencerer","2 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","Updated 10 Sept 2024","https://uk.trustpilot.com/reviews/66dee369b215f6a88cbac965","Horrendous - funded by the energy companies","They are not impartial in any way and in my case strung me along for 18 months. What eon did to me was staggering cruel - they agreed and awarded me £65. They are merely a mechanism to save the energy companies to stop people going to the small claims court. Go the courts instead - it doesn't cost much and the energy companies would soon stip acting like the mafia and maybe the ombudsman might actually start acting in a credible fashion.;Awful awful organisation. And no the person who will reply - you absolutely do not take great care. What a joke!I genuinely believe the psitive reviews to be fake - there are so many 1 star reviews.","09 September 2024","Reply from Energy Ombudsman","10 Sept 2024","Hi E Spencerer,I'm sorry you feel this way about our service.I would like to get a member of our Customer Service Team to look into your case.  I'd be grateful if you could send an email with your case reference number so that we can investigate it. Please mark the email title as TRUSTPILOT noreplycustomerexperience@energyombudsman.orgKind regardsLisa"
"","https://uk.trustpilot.com/users/66f27897c19b2b3b10392ee1","Lee Jona","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 Sept 2024","https://uk.trustpilot.com/reviews/66f2789f1b17519d3fee3395","This company is clearly biased in favor of the energy provider","This company is clearly biased in favor of the energy provider. Everything I’ve stated is based on facts, with evidence to back it up. Energy Ombudsman, don’t even try to deny it.1. Initially, they present themselves very politely, trying to get you to accept their service with exaggerated promises. However, once they take on the case, their attitude changes completely.2. The compensation they determined is significantly lower than what Octopus had originally promised me, and there is no way to challenge it. How is it possible that Octopus is willing to offer a certain compensation, but the Ombudsman refuses? The logic behind this is absurd.3. Both Octopus and I acknowledged that the bill was incorrect and agreed on the correct rate. Yet, the Ombudsman refused to accept this. I spent an hour on the phone explaining why the bill was wrong.4. the case has been taking 2 years, it's absurd that they say they won't compensate based on the time lost. the whole point of the dispute is the lost time, and time is money. 5. Octopus sent someone to my house to read the meter without my permission, and they claim it's was doable...6. What’s even more ridiculous is that when I expressed my dissatisfaction with the outcome, the Ombudsman became defensive, twice emphasizing that they were offering me a free service. When I asked who pays them, they admitted it was the energy company. That made everything clear—whoever pays you, you will naturally be biased towards. Their implication was that since the Ombudsman’s service is free, I should be grateful and accept the result. Really? I’ve been sold out by you and Octopus, and now you expect me to thank you for it?","23 September 2024","Reply from Energy Ombudsman","24 Sept 2024","Hi Lee, we're sorry that you have not had a positive experience when using our services. As with most Ombudsman - we are funded by the industry that we operate in. We charge a fee to suppliers for each case that a consumer brings to us, this fee is the same regardless of the outcome of the dispute. This also allows us to provide a free service to consumers. If you have any questions regarding our service or your dispute, then please don't hesitate to contact us, and we will be happy to help. Thank you"
"CU","https://uk.trustpilot.com/users/5bd6e10da4d29c59ed13bec6","customer","28 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","13 Sept 2024","https://uk.trustpilot.com/reviews/66e3fa0078de95877034d6d8","POINTLESS","So Energy mis-sold their energy contract by quoting a very low monthly price, then they turned around 8 months later and said ‘by the way, that wasn’t enough to cover your monthly energy consumption and all this debt has been accruing in the background and now we want £220 a month from a 73 year old pensioner whose only income is the basic state pension.’ The Ombudsman upheld my complaint and at the same time, So Energy’s renewal quote came in and guess what? Yep, another extremely low monthly price. I tried to complain about this and they said that it was a duplicate case. There will be absolutely NO consequences for energy companies freezing pensioners to death. I hope that all of you disgusting cowboys sleep well at night when you’ve got blood on your hands.","13 September 2024","Reply from Energy Ombudsman","13 Sept 2024","Hi Customer 22,Thanks for leaving a review.We work with Ofgem sharing information with them about the disputes we investigate.Please get in touch if we can help you further.Kind regardsLisa"
"","https://uk.trustpilot.com/users/66e20b5bb64adb737a6af0d3","Anna Cheesman","1 review","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","12 Sept 2024","https://uk.trustpilot.com/reviews/66e20b647c337d4eef0b6684","Disgraceful service","Disgraceful service, promised a disabled customer reasonable adjustments and then Just ignored them for weeks. No updates, ignored phone calls, then The day before deadline at 3.45pm, they called to say the decision has been investigated (it hadn’t) and made. The decision read over the phone and it was completely different to what was written. Complaint made to manager to say what had happened and everything was agreed and upheld that they should have kept me informed and not left the work till the afternoon before. How can this service get away with judging whether energy companies are lacking in their customer service and then behave as badly or worse. The hypocrisy is ridiculous.","20 August 2024","Reply from Energy Ombudsman","12 Sept 2024","Hi Anna,I'm really sorry to hear you haven't had a good experience of using our service.  I can understand your upset and disappointment.I have escalated your comments to a Team Leader in our Customer Service Team.  They will be in contact with you shortly.Kind regardsLisa"
"","https://uk.trustpilot.com/users/62b9b1225699d400126bbfa2","David","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","6 days ago","https://uk.trustpilot.com/reviews/66f717ad21c675aa77edf8f4","Energy Ombudsman  Experience","I opened the Enery Ombudsman  complaint process to establish just what I was required to complete and it immediately asked for specific times and dates which needed extensive research which I was only in the process of completing. I did not have everything at hand to attach documents of proof etc. Once I had entered the complaint I did not know if I could exit at any point and re-enter later. I found it confusing to navigate after initial entry. So I continued to enter details of the complaint off the top of my head. Only after completing this initial stage and submitting that document am I told I can add additional evidence at a later stage. 2. I received an email towards the end of the process after I asked for an explanation regarding the decision made by the case handler. The email stated, ""click here to view the new message""This opened my complaint, and clicked on MESSAGES,     NO new message listed.  Eventually I found the message attached to the enquiry I had sent. NOT very user friendly and certainly confusing.The case handler needs to consider he is dealing with a layman who is unfamiliar territory, this is the first encounter a complainant has had with his system, that he is working on day in day out. Some questions I asked I did not fully understand the complexities that were involved in forming his decision. ie,Found this hard going as an explanation to a layman.In regard to your 6th point, ‘we’ is the Energy Ombudsman. The paragraph is pretty self-explanatory and it generic to all our (the Energy Ombudsman) decisions. There is nothing within the remedies within your decision that British Gas as set out in the remedies. An example of something it may not be able to do is rebill historic usage from an old system, therefore, we would accept it applying a credit to offset any difference. However, this would/does not affect you. No allowance for an appropriate adult who is looking after the account of an elderly person who is without online access to your complaint system.Sorry, but it still reads a double dutch!With regard his last sentence above, my answer is WHY is there no allowance?Appears to me you have one hand tied behind your back and no teeth.This complaint would not have seen the light of day if I had not been fully committed and Mr C, 94 and his wife 92 yrs, with no internet, no email, no mobile phone would have lost out to incompetent British Gas accounting.My time is into days not just hours, all because of the incompetence of British Gas I do not consider that to be an even deal. You have found British Gas liable, Mr C  could not have completed this task and would have lost out if I had not taken this onboard.","27 September 2024","Reply from Energy Ombudsman","2 days ago","Hello David , we're sorry to hear that you have not had a positive experience when using our services. Our team take great care in ensuring that all evidence and information is considered, and that the outcome is fair and reflective of the dispute. If you have any questions or concerns, then please don't hesitate to contact us directly and a member of our team will be happy to help. Thank you"
"DA","https://uk.trustpilot.com/users/577a39ae0000ff000a2ea2dc","David","30 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-2.svg","11 Sept 2024","https://uk.trustpilot.com/reviews/66e0e3ecbe3aa4aac0c3c398","My main complaint was how long British…","My main complaint was how long British Gas are taking to produce a bill for my new account. Then when they do, after 10 months, it is wrong. The ombudsman has been dithering with British Gas, and given them 2 months to sort out the bill. I have had very little communication with both the ombudsman and British Gas,during this time, and nothing appears to be happening. It shouldn’t take 2 months to work out my bill, especially when 10 months have already passed. ( nearly a year now since my new account started)","21 April 2024","Reply from Energy Ombudsman","11 Sept 2024","Hi David,Thanks for leaving a review.I'm sorry to hear it's taking a long time to get a resolution.  If you get back in contact with us our Remediation Team will be able to follow up with British Gas.Kind regardsLisa"
"","https://uk.trustpilot.com/users/51b8bf0000006400013f80f7","Mike Maher","46 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","9 Sept 2024","https://uk.trustpilot.com/reviews/66df2671a36feefb98c8ec32","Truly awful and dreadful - Andy Dawber you should be ashamed","The whole experience was a joke. The case handler, name is Andy Dawber, just did not want to know. It was all just too much of an effort. I raised 4 issues and he addressed 1 out of 4. When I tried to point this out, he just brushed over my concerns and would not listen. This service is more interested in completing cases on time than delivering a good consumer outcome - truly awful and dreadful","09 September 2024","Reply from Energy Ombudsman","10 Sept 2024","Hi Mike,Thanks for leaving a review.I'm really sorry that you feel you didn't receive the best service from us.I have asked a senior Customer Service Manager to look into this and should be in contact with you in the next couple of days.Kind regardsLisa"
"CC","https://uk.trustpilot.com/users/5eeb56c42cf86101785df5bf","Carol Clarke","11 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","18 Sept 2024","https://uk.trustpilot.com/reviews/66eb1d3cedec0dd71d4ddbd1","I found the service I received very…","I found the service I received very helpful and I would definitely recommend the ombudsman service to anyone who needs their help and I would definitely use them again if I ever need to. The staff I dealt with were really helpful and friendly a credit to the company Thank you 😊","16 September 2024","Reply from Energy Ombudsman","19 Sept 2024","Hi Carol , That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"AN","https://uk.trustpilot.com/users/61979e9cf98a9600139a34a4","Andrew Needs","20 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","23 Sept 2024","https://uk.trustpilot.com/reviews/66f1907ff0217db6c3738f4d","Great service by professional and…","Great service by professional and friendly staff. Kept informed at all times by Hannah, my member of staff. Faultless.","23 September 2024","Reply from Energy Ombudsman","24 Sept 2024","Hi, That's fantastic to hear, We're glad that you had such a positive experience when using our services and that Hannah supported you throughout your dispute with us. Thank you for your review."
"JA","https://uk.trustpilot.com/users/6138d87f356a1200124624dd","James","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","24 Sept 2024","https://uk.trustpilot.com/reviews/66f285907d397d6ccc2f177b","A huge waste of time.","British gas were found to be at fault.they were told to pay compensation and fix my meter. they haven't done anything at all.nobody has bothered chasing it up. it took a long time to make this decision... what's the point of it all?","09 September 2024","Reply from Energy Ombudsman","Updated 24 Sept 2024","Hello James, We are sorry to hear that you haven't had a positive experience when using our services and that your remedies have not been successfully implemented. We would advise contacting us directly on tel 0330 440 1624 or email us @ enquiry@energyombudsman.org   and a member of our team will check this for you for you and advise on next steps. Thank you."
"CU","https://uk.trustpilot.com/users/632c1c276dc14a00131f76aa","customer","7 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-5.svg","20 Sept 2024","https://uk.trustpilot.com/reviews/66ed3d794d5c2d5d88d69863","I was very impressed by the service…","I was very impressed by the service from the energy ombudsman. After many months of getting nowhere with SSE, the energy ombudsman resolved the issues in a very short time.","17 September 2024","Reply from Energy Ombudsman","23 Sept 2024","Hi, That's great to hear, we're glad we were able to resolve your dispute. Thank you for taking the time to share your experience."
"LA","https://uk.trustpilot.com/users/5a09a2d20000ff000ae1cf6e","Luben Akaliyski","3 reviews","GB","https://cdn.trustpilot.net/brand-assets/4.1.0/stars/stars-1.svg","11 Sept 2024","https://uk.trustpilot.com/reviews/66e16baa561fc5ee3c01232b","Terrible experience","I am not sure what is the purpose of the EO. Scottish power had to install gas meter in my house. After couple of months and several missed appointments from them I have contacted the Energy Ombudsman who made me believe it is the right thing to do. The case was opened on 5th June 2024 and they made the decision that SP have to install gas meter  by 20th August and they have legal responsibilities to do that. Today is 11th September still no gas meter and the EO can't even speak with SP. SP doesn't want to speak to me as the case is with the EO. I have much better communication with SP before engaging with the EO. 5 months without hot water and heating and I have two small children in the house. No indication when the gas meter will be installed.","11 September 2024","Reply from Energy Ombudsman","12 Sept 2024","Hi Luben,Thanks for leaving a review.I'm really sorry to hear this.  It's totally unacceptable to be without hot water and heating with small children in your home.I have escalated your comments to our Remedation Team who should be able to follow up with Scottish Power.Kind regardsLisa"
